case_id,status,tstop_ms,amp_nA,delay_ms,dur_ms,observable,n_samples,mae,rmse,max_abs,mean_bias,rel_mae_pct,error_message
0,ok,50.0,0.01,0.0,20.0,v_mV,2000,0.0027364120695591793,0.0029559825407091244,0.004515983224465003,-0.00033440213490420237,0.004518028524871227,
0,ok,50.0,0.01,0.0,20.0,ik_mA_cm2,2000,1.8098388815317915e-08,2.0419043827786694e-08,3.014167807396432e-08,2.624863264439572e-09,0.12623013983915993,
0,ok,50.0,0.01,0.0,20.0,gate_n,2000,2.195554428370865e-08,3.264657545308308e-08,9.319041647735916e-08,-7.684051857227001e-09,0.028439597898942567,
1,ok,50.0,0.01,0.0,50.0,v_mV,2000,0.0022912176402536486,0.002696070482486705,0.004515983224465003,-0.0022912176402536486,0.003968132484909898,
1,ok,50.0,0.01,0.0,50.0,ik_mA_cm2,2000,1.6476839365753407e-08,1.9002338398673936e-08,3.014167807396432e-08,1.6476839365753407e-08,0.0874229900821817,
1,ok,50.0,0.01,0.0,50.0,gate_n,2000,1.5939344027286308e-08,1.830775127602228e-08,4.0035960116916423e-08,-4.446994022992872e-09,0.018166755311202255,
2,ok,50.0,0.01,10.0,20.0,v_mV,2000,0.002366237938407167,0.002839954641098571,0.004550098293577776,-0.0007361600912311985,0.003943630629403602,
2,ok,50.0,0.01,10.0,20.0,ik_mA_cm2,2000,1.7195248244109074e-08,2.0325709516600937e-08,3.024752262375036e-08,3.6026797970085664e-09,0.11491723703035324,
2,ok,50.0,0.01,10.0,20.0,gate_n,2000,2.0972469882025382e-08,3.2643053092735566e-08,9.342804051717534e-08,-8.974734393721832e-09,0.026421360292938997,
3,ok,50.0,0.02,0.0,20.0,v_mV,2000,0.005452902268396475,0.0058712434377303545,0.008956068116106053,-0.0005270072145347378,0.009737010067754275,
3,ok,50.0,0.02,0.0,20.0,ik_mA_cm2,2000,7.195858764431283e-08,8.81510601653417e-08,1.4669309980450032e-07,1.5397844797082296e-08,0.23280529556965018,
3,ok,50.0,0.02,0.0,20.0,gate_n,2000,7.839816863813387e-08,1.2789499030525965e-07,4.021957359710382e-07,-4.1358077610803724e-08,0.056253817630535344,
4,ok,50.0,0.02,0.0,50.0,v_mV,2000,0.004218168640262768,0.005157536560186315,0.008956068116106053,-0.004218168640262768,0.008311877200656986,
4,ok,50.0,0.02,0.0,50.0,ik_mA_cm2,2000,7.773879013467789e-08,9.027716919597699e-08,1.4669309980450032e-07,7.773879013467789e-08,0.1548250153479239,
4,ok,50.0,0.02,0.0,50.0,gate_n,2000,5.99457131045495e-08,6.630528618131818e-08,9.922231106948294e-08,-2.9321821606847178e-08,0.033865037467483775,
5,ok,50.0,0.02,10.0,20.0,v_mV,2000,0.0047060476416046024,0.005624175909693765,0.00899248188999735,-0.0012913780814634243,0.008563481245846747,
5,ok,50.0,0.02,10.0,20.0,ik_mA_cm2,2000,6.984919216175447e-08,8.797352113809382e-08,1.467821589423452e-07,1.7510167238884797e-08,0.2103495230032998,
5,ok,50.0,0.02,10.0,20.0,gate_n,2000,7.595858932738812e-08,1.2779973874570255e-07,4.022151562065317e-07,-4.395851064739614e-08,0.05186404042411221,
6,ok,100.0,0.01,0.0,20.0,v_mV,4000,0.0015532495949587145,0.0021218190072013715,0.004515983224465003,-8.717700540508134e-07,0.0025441664585663178,
6,ok,100.0,0.01,0.0,20.0,ik_mA_cm2,4000,9.389899800154052e-09,1.4456118580855855e-08,3.014167807396432e-08,9.855471824986238e-10,0.06799030867656682,
6,ok,100.0,0.01,0.0,20.0,gate_n,4000,1.173812698444755e-08,2.3130705307044522e-08,9.319041647735916e-08,-3.135599326707162e-09,0.01586919995624758,
7,ok,100.0,0.01,0.0,50.0,v_mV,4000,0.002269849538489895,0.0026643611481391135,0.004515983224465003,-2.2284177926566783e-05,0.0037812709678217747,
7,ok,100.0,0.01,0.0,50.0,ik_mA_cm2,4000,1.45604868963511e-08,1.9166998949369914e-08,4.929670304379256e-08,1.9163524694023053e-09,0.08819792896153462,
7,ok,100.0,0.01,0.0,50.0,gate_n,4000,1.547508537858291e-08,2.2870146302616036e-08,8.706809193598068e-08,-5.58399706687104e-09,0.01846137740147673,
8,ok,100.0,0.01,10.0,20.0,v_mV,4000,0.0015452308425013737,0.0021289168515626947,0.004550098293577776,-6.037952991485795e-06,0.002532409546817395,
8,ok,100.0,0.01,10.0,20.0,ik_mA_cm2,4000,9.388924019181529e-09,1.4468176938807894e-08,3.024752262375036e-08,1.010040001377292e-09,0.06806927077676557,
8,ok,100.0,0.01,10.0,20.0,gate_n,4000,1.1753297609659173e-08,2.3192446153814298e-08,9.342804051717534e-08,-3.220304528214433e-09,0.01587388531417635,
9,ok,100.0,0.01,10.0,50.0,v_mV,4000,0.0022131934215321144,0.0026644190249205456,0.004550098293577776,-7.877312422423799e-05,0.003693013677900389,
9,ok,100.0,0.01,10.0,50.0,ik_mA_cm2,4000,1.446036269403792e-08,1.918751105526466e-08,4.934345479596446e-08,1.9990254282912235e-09,0.08697990673165654,
9,ok,100.0,0.01,10.0,50.0,gate_n,4000,1.513135350324428e-08,2.277644827918275e-08,8.689858483488979e-08,-5.793188255554664e-09,0.01786105264233445,
10,ok,100.0,0.02,0.0,20.0,v_mV,4000,0.003078029962211618,0.0042127653468472335,0.008956068116106053,8.559416691299582e-05,0.005411761922049889,
10,ok,100.0,0.02,0.0,20.0,ik_mA_cm2,4000,3.666352637563067e-08,6.234937057549224e-08,1.4669309980450032e-07,7.015364845119802e-09,0.12584397152334015,
10,ok,100.0,0.02,0.0,20.0,gate_n,4000,4.07181882868514e-08,9.048448176346414e-08,4.021957359710382e-07,-1.9165348346654227e-08,0.031348907263336286,
11,ok,100.0,0.02,0.0,50.0,v_mV,4000,0.0043120858717198484,0.005165499392766063,0.008956068116106053,9.337578060499042e-05,0.007827976374698476,
11,ok,100.0,0.02,0.0,50.0,ik_mA_cm2,4000,6.432136922448213e-08,9.159569771252567e-08,2.780800212411928e-07,1.3417420910195774e-08,0.15872386469627134,
11,ok,100.0,0.02,0.0,50.0,gate_n,4000,5.758088843772126e-08,9.385295706562187e-08,3.9576573965596773e-07,-3.344330511738825e-08,0.03492655558110638,
12,ok,100.0,0.02,10.0,20.0,v_mV,4000,0.0030812502325979238,0.004218563391874895,0.00899248188999735,8.253737106391057e-05,0.005416791689273337,
