comparison,metric,error_column,dt_ms,dt_half_ms,error_dt,error_dt_half,order_p
braincell_vs_neuron,compartment_v,mean_of_mean_abs_mV,0.1,0.05,0.0008509139323590779,0.00022158359853808682,1.9411621165243655
braincell_vs_neuron,compartment_v,mean_of_mean_abs_mV,0.05,0.025,0.00022158359853808682,5.439430322378797e-05,2.0263236286334454
braincell_vs_neuron,compartment_v,mean_of_mean_abs_mV,0.025,0.0125,5.439430322378797e-05,8.983756040097601e-06,2.5980649082875065
braincell_vs_neuron,compartment_v,mean_of_mean_abs_mV,0.0125,0.00625,8.983756040097601e-06,3.0113793017370896e-06,1.5768943151041117
braincell_vs_neuron,compartment_v,mean_of_rmse_mV,0.1,0.05,0.0018655761210097852,0.0005855716326275759,1.6717036569137198
braincell_vs_neuron,compartment_v,mean_of_rmse_mV,0.05,0.025,0.0005855716326275759,0.00014526497507186815,2.0111587697394016
braincell_vs_neuron,compartment_v,mean_of_rmse_mV,0.025,0.0125,0.00014526497507186815,2.445986072419158e-05,2.5701988015885453
braincell_vs_neuron,compartment_v,mean_of_rmse_mV,0.0125,0.00625,2.445986072419158e-05,7.184984617815692e-06,1.76735921594011
braincell_vs_neuron,compartment_v,global_max_abs_mV,0.1,0.05,0.41166045577291754,0.26598608157332215,0.6301041147360038
braincell_vs_neuron,compartment_v,global_max_abs_mV,0.05,0.025,0.26598608157332215,0.08994567197857162,1.5642249864503195
braincell_vs_neuron,compartment_v,global_max_abs_mV,0.025,0.0125,0.08994567197857162,0.017527664286324907,2.3594201060499427
braincell_vs_neuron,compartment_v,global_max_abs_mV,0.0125,0.00625,0.017527664286324907,0.005702590255721063,1.6199444766730995
braincell_vs_neuron,soma_cai,max_abs,0.1,0.05,6.374564432890363e-06,1.9684243632588127e-06,1.6952854895643388
braincell_vs_neuron,soma_cai,max_abs,0.05,0.025,1.9684243632588127e-06,4.944913294337074e-07,1.9930241483285676
braincell_vs_neuron,soma_cai,max_abs,0.025,0.0125,4.944913294337074e-07,7.54346684339385e-08,2.7126456065054563
braincell_vs_neuron,soma_cai,max_abs,0.0125,0.00625,7.54346684339385e-08,2.099137018732062e-08,1.8454313729724312
braincell_vs_neuron,soma_cai,mean_abs,0.1,0.05,1.6680013420304388e-07,5.405615941625747e-08,1.6255895295549847
braincell_vs_neuron,soma_cai,mean_abs,0.05,0.025,5.405615941625747e-08,1.221936308680829e-08,2.1452899257406433
braincell_vs_neuron,soma_cai,mean_abs,0.025,0.0125,1.221936308680829e-08,1.9910266046333534e-09,2.617584685150362
braincell_vs_neuron,soma_cai,mean_abs,0.0125,0.00625,1.9910266046333534e-09,5.153332759636427e-10,1.9499348409336454
braincell_vs_neuron,soma_cai,rmse,0.1,0.05,6.423749443699374e-07,2.2039068268390416e-07,1.5433523887904539
braincell_vs_neuron,soma_cai,rmse,0.05,0.025,2.2039068268390416e-07,4.887401669909684e-08,2.172923651193269
braincell_vs_neuron,soma_cai,rmse,0.025,0.0125,4.887401669909684e-08,7.800783121745118e-09,2.6473768082742404
braincell_vs_neuron,soma_cai,rmse,0.0125,0.00625,7.800783121745118e-09,2.130310934127142e-09,1.8725549461227327
braincell_vs_neuron,soma_v,max_abs,0.1,0.05,0.41166045577291754,0.26598608157332215,0.6301041147360038
braincell_vs_neuron,soma_v,max_abs,0.05,0.025,0.26598608157332215,0.08994567197857162,1.5642249864503195
braincell_vs_neuron,soma_v,max_abs,0.025,0.0125,0.08994567197857162,0.017527664286324907,2.3594201060499427
braincell_vs_neuron,soma_v,max_abs,0.0125,0.00625,0.017527664286324907,0.005702590255721063,1.6199444766730995
