metric,unit,max_abs,mean_abs,rmse,signed_delta,time_ms,n_columns,comparison,left_backend,right_backend,dt_ms,right_dt_ms,threshold_mV,n_spikes_left,n_spikes_right,matched_spikes,spike_count_delta,mean_abs_spike_time_error_ms,max_abs_spike_time_error_ms,mean_signed_spike_time_error_ms,mean_of_mean_abs_mV,mean_of_rmse_mV,global_max_abs_mV,global_signed_delta_mV,global_max_time_ms,global_max_branch_index,global_max_local_index,global_max_branch_name
soma_v,mV,96.1136300664404,13.003434324223367,24.295930864326003,-96.1136300664404,33.00000000000026,1.0,neuron_vs_ref,neuron,neuron,0.1,0.001,,,,,,,,,,,,,,,,
soma_cai,mM,0.0011279114613152708,0.00010578763041474258,0.0002521181115911423,-0.0011279114613152708,33.300000000000246,1.0,neuron_vs_ref,neuron,neuron,0.1,0.001,,,,,,,,,,,,,,,,
spike_time,ms,,,,,,,neuron_vs_ref,neuron,neuron,0.1,0.001,0.0,6.0,6.0,6.0,0.0,1.423340910334618,2.3203155426554574,1.423340910334618,,,,,,,,
soma_v,mV,96.11122774782089,13.001891866910405,24.295225418796974,-96.11122774782089,33.0,1.0,braincell_vs_ref,braincell,neuron,0.1,0.001,,,,,,,,,,,,,,,,
soma_cai,mM,0.0011279237482505853,0.00010576767799974994,0.00025210522275495264,-0.0011279237482505853,33.300000000000004,1.0,braincell_vs_ref,braincell,neuron,0.1,0.001,,,,,,,,,,,,,,,,
spike_time,ms,,,,,,,braincell_vs_ref,braincell,neuron,0.1,0.001,0.0,6.0,6.0,6.0,0.0,1.4228661876145912,2.3194788848138685,1.4228661876145912,,,,,,,,
soma_v,mV,0.41166045577291754,0.013297798139518271,0.04561241498031853,0.41166045577291754,29.6,1.0,braincell_vs_neuron,braincell,neuron,0.1,0.1,,,,,,,,,,,,,,,,
compartment_v,mV,,,,,,465.0,braincell_vs_neuron,braincell,neuron,0.1,0.1,,,,,,,,,0.0008509139323590779,0.0018655761210097852,0.41166045577291754,0.41166045577291754,29.6,0.0,0.0,soma
soma_cai,mM,6.374564432890363e-06,1.6680013420304388e-07,6.423749443699374e-07,-6.374564432890363e-06,35.800000000000004,1.0,braincell_vs_neuron,braincell,neuron,0.1,0.1,,,,,,,,,,,,,,,,
spike_time,ms,,,,,,,braincell_vs_neuron,braincell,neuron,0.1,0.1,0.0,6.0,6.0,6.0,0.0,0.0004747294489064006,0.0011370215896953084,-0.00047472272002672494,,,,,,,,
soma_v,mV,96.75423561822845,9.746735574053487,22.4016212115796,96.75423561822845,23.19999999999975,1.0,neuron_vs_ref,neuron,neuron,0.05,0.001,,,,,,,,,,,,,,,,
soma_cai,mM,0.0011293641115553675,9.161268569387955e-05,0.00024441507108167803,-0.0011293641115553675,33.29999999999918,1.0,neuron_vs_ref,neuron,neuron,0.05,0.001,,,,,,,,,,,,,,,,
spike_time,ms,,,,,,,neuron_vs_ref,neuron,neuron,0.05,0.001,0.0,6.0,6.0,6.0,0.0,0.6754304015838949,1.0630536223193658,0.6754304015838949,,,,,,,,
soma_v,mV,96.73885137396627,9.746151454114957,22.40141725399091,96.73885137396627,23.200000000000003,1.0,braincell_vs_ref,braincell,neuron,0.05,0.001,,,,,,,,,,,,,,,,
soma_cai,mM,0.0011293613648256763,9.162278888947065e-05,0.00024444004529050763,-0.0011293613648256763,33.300000000000004,1.0,braincell_vs_ref,braincell,neuron,0.05,0.001,,,,,,,,,,,,,,,,
spike_time,ms,,,,,,,braincell_vs_ref,braincell,neuron,0.05,0.001,0.0,6.0,6.0,6.0,0.0,0.675269886793391,1.0627102121070706,0.675269886793391,,,,,,,,
soma_v,mV,0.26598608157332215,0.004484052565365699,0.01815224201021367,0.26598608157332215,34.0,1.0,braincell_vs_neuron,braincell,neuron,0.05,0.05,,,,,,,,,,,,,,,,
compartment_v,mV,,,,,,465.0,braincell_vs_neuron,braincell,neuron,0.05,0.05,,,,,,,,,0.00022158359853808682,0.0005855716326275759,0.26598608157332215,0.26598608157332215,34.0,0.0,0.0,soma
soma_cai,mM,1.9684243632588127e-06,5.405615941625747e-08,2.2039068268390416e-07,1.9684243632588127e-06,34.300000000000004,1.0,braincell_vs_neuron,braincell,neuron,0.05,0.05,,,,,,,,,,,,,,,,
spike_time,ms,,,,,,,braincell_vs_neuron,braincell,neuron,0.05,0.05,0.0,6.0,6.0,6.0,0.0,0.00016052292270899807,0.0003434102122952254,-0.00016051479050386655,,,,,,,,
soma_v,mV,95.52563631900603,6.930124763817262,18.857204460052152,95.52563631900603,33.52499999999906,1.0,neuron_vs_ref,neuron,neuron,0.025,0.001,,,,,,,,,,,,,,,,
soma_cai,mM,0.001128370046584243,7.393437801109381e-05,0.0002239666985104665,-0.001128370046584243,27.974999999998946,1.0,neuron_vs_ref,neuron,neuron,0.025,0.001,,,,,,,,,,,,,,,,
spike_time,ms,,,,,,,neuron_vs_ref,neuron,neuron,0.025,0.001,0.0,6.0,6.0,6.0,0.0,0.32445302048991803,0.5041300897680117,0.32445302048991803,,,,,,,,
soma_v,mV,95.52353269941857,6.929787949115349,18.856588174392886,95.52353269941857,33.525,1.0,braincell_vs_ref,braincell,neuron,0.025,0.001,,,,,,,,,,,,,,,,
soma_cai,mM,0.0011283694506127927,7.393285486076633e-05,0.00022396640995169038,-0.0011283694506127927,27.975,1.0,braincell_vs_ref,braincell,neuron,0.025,0.001,,,,,,,,,,,,,,,,
spike_time,ms,,,,,,,braincell_vs_ref,braincell,neuron,0.025,0.001,0.0,6.0,6.0,6.0,0.0,0.3244116719468641,0.504047846284557,0.3244116719468641,,,,,,,,
soma_v,mV,0.08994567197857162,0.0011272711746129196,0.004942367900210772,0.08994567197857162,33.45,1.0,braincell_vs_neuron,braincell,neuron,0.025,0.025,,,,,,,,,,,,,,,,
